,Unnamed: 0,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Y,Sex_F,Sex_I,Sex_M
965,965,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8,False,False,True
966,966,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7,False,True,False
967,967,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,False,True,False
968,968,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8,False,False,True
969,969,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8,False,False,True
970,970,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8,True,False,False
971,971,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7,False,False,True
972,972,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8,True,False,False
973,973,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11,False,False,True
974,974,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8,True,False,False
975,975,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8,True,False,False
976,976,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7,False,False,True
977,977,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,True,False,False
978,978,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8,False,False,True
979,979,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8,False,False,True
980,980,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9,True,False,False
981,981,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9,True,False,False
982,982,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9,True,False,False
983,983,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,True,False,False
984,984,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10,False,False,True
985,985,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10,False,False,True
986,986,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8,True,False,False
987,987,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8,False,False,True
988,988,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7,False,False,True
989,989,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9,False,False,True
990,990,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9,True,False,False
991,991,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7,True,False,False
992,992,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,True,False,False
993,993,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10,False,False,True
994,994,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8,True,False,False
995,995,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9,False,False,True
996,996,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11,False,False,True
997,997,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8,False,False,True
998,998,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,True,False,False
999,999,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11,True,False,False
1000,1000,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11,True,False,False
1001,1001,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9,False,False,True
1002,1002,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9,True,False,False
1003,1003,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9,False,False,True
1004,1004,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9,True,False,False
1005,1005,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9,False,False,True
1006,1006,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11,False,False,True
1007,1007,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11,False,False,True
1008,1008,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10,False,False,True
1009,1009,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8,True,False,False
1010,1010,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11,True,False,False
1011,1011,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10,True,False,False
1012,1012,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10,False,False,True
1013,1013,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10,True,False,False
1014,1014,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,True,False,False
1015,1015,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,True,False,False
1016,1016,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,False,False,True
1017,1017,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11,True,False,False
1018,1018,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,False,False,True
1019,1019,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,False,False,True
1020,1020,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10,False,False,True
1021,1021,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10,False,False,True
1022,1022,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11,True,False,False
1023,1023,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10,True,False,False
1024,1024,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10,True,False,False
1025,1025,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11,False,False,True
1026,1026,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8,False,False,True
1027,1027,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8,True,False,False
1028,1028,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11,False,False,True
1029,1029,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,True,False,False
1030,1030,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,True,False,False
1031,1031,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,False,False,True
1032,1032,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,False,False,True
1033,1033,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10,False,False,True
1034,1034,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9,True,False,False
1035,1035,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10,True,False,False
1036,1036,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11,True,False,False
1037,1037,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,False,False,True
1038,1038,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10,False,False,True
1039,1039,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6,True,False,False
1040,1040,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11,False,False,True
1041,1041,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10,True,False,False
1042,1042,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12,True,False,False
1043,1043,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12,False,False,True
1044,1044,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8,False,False,True
1045,1045,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10,False,False,True
1046,1046,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,True,False,False
1047,1047,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,True,False,False
1048,1048,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,False,False,True
1049,1049,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,False,False,True
1050,1050,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11,True,False,False
1051,1051,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11,True,False,False
1052,1052,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12,False,False,True
1059,1059,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,False,True,False
1060,1060,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,False,True,False
1061,1061,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6,False,True,False
1062,1062,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,False,True,False
1063,1063,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,False,True,False
1064,1064,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,False,True,False
1065,1065,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6,False,True,False
1066,1066,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,False,True,False
1067,1067,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,False,True,False
1068,1068,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,False,True,False
1069,1069,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,False,True,False
1070,1070,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,False,True,False
1071,1071,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,False,True,False
1072,1072,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6,False,True,False
1073,1073,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,False,True,False
1074,1074,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,False,True,False
1075,1075,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6,False,True,False
1076,1076,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,False,True,False
1077,1077,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,False,True,False
1078,1078,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6,False,True,False
1079,1079,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,False,True,False
1080,1080,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,False,False,True
1081,1081,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,False,True,False
1082,1082,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,False,True,False
1083,1083,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,False,True,False
1084,1084,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,False,True,False
1085,1085,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,False,True,False
1086,1086,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,False,True,False
1087,1087,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,False,True,False
1088,1088,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,False,True,False
1089,1089,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,False,True,False
1090,1090,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6,False,True,False
1091,1091,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,False,True,False
1092,1092,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,False,True,False
1093,1093,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,False,False,True
1094,1094,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6,False,True,False
1095,1095,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6,False,True,False
1096,1096,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,False,True,False
1097,1097,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,False,True,False
1098,1098,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,False,False,True
1099,1099,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7,False,True,False
1100,1100,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9,False,True,False
1101,1101,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8,False,True,False
1102,1102,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6,False,False,True
1103,1103,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7,True,False,False
1104,1104,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,False,True,False
1105,1105,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,True,False,False
1106,1106,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,False,True,False
1107,1107,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,False,True,False
1108,1108,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,False,True,False
1109,1109,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,False,False,True
1110,1110,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,False,True,False
1111,1111,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8,False,True,False
1112,1112,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,True,False,False
1113,1113,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,False,True,False
1114,1114,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,False,True,False
1115,1115,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,False,False,True
1116,1116,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,False,True,False
1117,1117,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,False,True,False
1118,1118,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9,False,True,False
1119,1119,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,False,True,False
1120,1120,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,False,False,True
1121,1121,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9,False,False,True
1122,1122,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,False,False,True
1123,1123,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8,True,False,False
1124,1124,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,True,False,False
1125,1125,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,False,False,True
1126,1126,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,False,False,True
1127,1127,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,False,False,True
1128,1128,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,True,False,False
1129,1129,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,False,False,True
1130,1130,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,False,False,True
1131,1131,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,False,False,True
1132,1132,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,True,False,False
1133,1133,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9,False,False,True
1134,1134,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8,True,False,False
1135,1135,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8,False,True,False
1136,1136,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7,True,False,False
1137,1137,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10,True,False,False
1138,1138,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,False,False,True
1139,1139,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9,True,False,False
1140,1140,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,False,False,True
1141,1141,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,False,True,False
1142,1142,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9,False,False,True
1143,1143,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,False,False,True
1144,1144,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,False,False,True
1145,1145,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,False,False,True
1146,1146,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,False,False,True
1147,1147,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,False,False,True
1148,1148,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,False,False,True
1149,1149,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,True,False,False
1150,1150,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,False,False,True
1151,1151,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7,False,False,True
1152,1152,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8,False,False,True
1153,1153,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,True,False,False
1154,1154,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8,False,False,True
1155,1155,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8,True,False,False
1156,1156,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10,False,False,True
1157,1157,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,True,False,False
1158,1158,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,False,False,True
1159,1159,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10,False,False,True
1160,1160,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,True,False,False
1161,1161,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,False,False,True
1162,1162,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,False,False,True
1163,1163,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9,False,False,True
1164,1164,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,False,False,True
1165,1165,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,True,False,False
1166,1166,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,True,False,False
1167,1167,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,False,False,True
1168,1168,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,False,False,True
1169,1169,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,True,False,False
1170,1170,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,True,False,False
1171,1171,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,False,False,True
1172,1172,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,False,False,True
1173,1173,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,False,False,True
1174,1174,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9,True,False,False
1175,1175,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,False,False,True
1176,1176,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,False,False,True
1177,1177,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,True,False,False
1178,1178,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,True,False,False
1179,1179,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,False,False,True
1180,1180,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11,False,False,True
1181,1181,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,True,False,False
1182,1182,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,True,False,False
1183,1183,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,False,False,True
1184,1184,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,False,True,False
1185,1185,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,True,False,False
1186,1186,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,True,False,False
1187,1187,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10,False,False,True
1188,1188,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,True,False,False
1189,1189,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,False,False,True
1190,1190,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,True,False,False
1191,1191,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,False,False,True
1192,1192,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9,False,False,True
1193,1193,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,False,False,True
1194,1194,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9,True,False,False
1195,1195,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,True,False,False
1196,1196,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,True,False,False
1197,1197,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12,False,False,True
1198,1198,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,False,False,True
1199,1199,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,True,False,False
1200,1200,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,True,False,False
1201,1201,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,False,False,True
1202,1202,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12,False,False,True
1203,1203,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,True,False,False
1204,1204,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,False,False,True
1205,1205,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,False,False,True
1206,1206,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,True,False,False
1207,1207,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11,True,False,False
1208,1208,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,False,False,True
1209,1209,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11,True,False,False
1210,1210,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,False,True,False
1212,1212,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,False,True,False
1213,1213,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,False,True,False
1214,1214,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6,False,True,False
1215,1215,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,False,True,False
1216,1216,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,False,True,False
1217,1217,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,False,True,False
1218,1218,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,False,True,False
1219,1219,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,False,True,False
1220,1220,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,False,True,False
1221,1221,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,False,True,False
1222,1222,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7,False,True,False
1223,1223,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,False,True,False
1224,1224,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6,False,True,False
1225,1225,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5,False,True,False
1226,1226,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,False,True,False
1227,1227,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,False,True,False
1229,1229,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6,False,True,False
1230,1230,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,False,True,False
1231,1231,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7,False,True,False
1232,1232,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7,False,True,False
1233,1233,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6,False,True,False
1234,1234,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5,False,True,False
1235,1235,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7,False,True,False
1236,1236,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6,False,True,False
1237,1237,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,False,True,False
1238,1238,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,False,True,False
1239,1239,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7,False,True,False
1240,1240,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6,False,True,False
1241,1241,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,False,True,False
1242,1242,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9,False,True,False
1243,1243,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8,False,True,False
1244,1244,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7,False,True,False
1245,1245,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5,False,True,False
1246,1246,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7,False,True,False
1247,1247,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8,False,True,False
1248,1248,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8,False,True,False
1249,1249,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5,False,True,False
1250,1250,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5,False,True,False
1251,1251,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6,False,True,False
1252,1252,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7,False,True,False
1253,1253,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6,False,True,False
1254,1254,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7,False,True,False
1255,1255,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7,False,True,False
1256,1256,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7,False,True,False
1257,1257,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8,False,True,False
1258,1258,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8,False,True,False
1259,1259,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7,False,True,False
1260,1260,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9,False,True,False
1261,1261,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9,False,True,False
1262,1262,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8,False,True,False
1263,1263,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8,True,False,False
1264,1264,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8,False,True,False
1265,1265,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7,False,True,False
1266,1266,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9,False,True,False
1267,1267,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8,True,False,False
1268,1268,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11,False,True,False
1269,1269,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8,False,True,False
1270,1270,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,False,True,False
1271,1271,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8,False,True,False
1272,1272,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8,False,True,False
1273,1273,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8,False,True,False
1274,1274,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8,False,True,False
1275,1275,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9,False,True,False
1276,1276,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8,False,True,False
1277,1277,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8,False,True,False
1278,1278,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8,False,True,False
1279,1279,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,False,True,False
1280,1280,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,False,False,True
1281,1281,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9,False,True,False
1282,1282,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9,False,False,True
1283,1283,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,False,True,False
1284,1284,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,False,True,False
1285,1285,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,False,True,False
1286,1286,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9,False,True,False
1287,1287,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8,False,True,False
1288,1288,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7,False,True,False
1289,1289,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8,False,True,False
1290,1290,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7,False,True,False
1291,1291,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13,False,True,False
